,schedule_date,Season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,Team,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail,point_diff,spread_favorite_covered
8770,10/23/2005,2005,7,False,PHI,20,17,SD,,,47,Lincoln Financial Field,False,53.0,14.0,61.0,,3,False
8771,10/23/2005,2005,7,False,SEA,13,10,DAL,,,45.5,CenturyLink Field,False,55.0,5.0,90.0,,3,False
8772,10/23/2005,2005,7,False,STL,28,17,NO,,,50,Edward Jones Dome,False,72.0,0.0,,indoor,11,False
8773,10/23/2005,2005,7,False,Washington Redskins,52,17,SF,,,38,FedEx Field,False,55.0,11.0,58.0,,35,False
8774,10/24/2005,2005,7,False,ATL,27,14,NYJ,,,41,Georgia Dome,False,72.0,0.0,,indoor,13,False
8775,10/30/2005,2005,8,False,CAR,38,13,MIN,,,44,Bank of America Stadium,False,48.0,3.0,60.0,,25,False
8776,10/30/2005,2005,8,False,CIN,21,14,GB,,,46,Paul Brown Stadium,False,45.0,7.0,60.0,,7,False
8777,10/30/2005,2005,8,False,DAL,34,13,ARI,,,41,Texas Stadium,False,65.0,13.0,48.0,,21,False
8778,10/30/2005,2005,8,False,DEN,49,21,PHI,,,44,Sports Authority Field at Mile High,False,44.0,10.0,74.0,,28,False
8779,10/30/2005,2005,8,False,DET,13,19,CHI,,,32.5,Ford Field,False,72.0,0.0,,indoor,-6,False
8780,10/30/2005,2005,8,False,HOU,19,16,CLE,,,37.5,Reliant Stadium,False,72.0,0.0,,indoor,3,False
8781,10/30/2005,2005,8,False,NE,21,16,BUF,,,43.5,Gillette Stadium,False,50.0,15.0,54.0,,5,False
8782,10/30/2005,2005,8,False,NO,6,21,MIA,,,41,Tiger Stadium (LSU),False,57.0,6.0,60.0,,-15,False
8783,10/30/2005,2005,8,False,NYG,36,0,Washington Redskins,,,41,Giants Stadium,False,55.0,15.0,50.0,,36,False
8784,10/30/2005,2005,8,False,SD,28,20,KC,,,51,Qualcomm Stadium,False,62.0,7.0,77.0,,8,False
8785,10/30/2005,2005,8,False,SF,15,10,TB,,,37,Candlestick Park,False,56.0,9.0,75.0,,5,False
8786,10/30/2005,2005,8,False,STL,24,21,JAX,,,43,Edward Jones Dome,False,72.0,0.0,,indoor,3,False
8787,10/30/2005,2005,8,False,TEN,25,34,OAK,,,46,Nissan Stadium,False,50.0,5.0,49.0,,-9,False
8788,10/31/2005,2005,8,False,PIT,20,19,BAL,,,33,Heinz Field,False,47.0,6.0,59.0,,1,False
8789,11/6/2005,2005,9,False,ARI,19,33,SEA,,,44,University of Phoenix Stadium,False,68.0,6.0,27.0,,-14,False
8790,11/6/2005,2005,9,False,BAL,9,21,CIN,,,36,M&T Bank Stadium,False,59.0,8.0,73.0,,-12,False
8791,11/6/2005,2005,9,False,CLE,20,14,TEN,,,39,FirstEnergy Stadium,False,61.0,21.0,71.0,,6,False
8792,11/6/2005,2005,9,False,GB,10,20,PIT,,,42,Lambeau Field,False,43.0,19.0,89.0,,-10,False
8793,11/6/2005,2005,9,False,JAX,21,14,HOU,,,37.5,EverBank Field,False,72.0,5.0,68.0,,7,False
8794,11/6/2005,2005,9,False,KC,27,23,OAK,,,51.5,Arrowhead Stadium,False,50.0,10.0,64.0,,4,False
8795,11/6/2005,2005,9,False,MIA,10,17,ATL,,,39.5,Sun Life Stadium,False,78.0,6.0,75.0,,-7,False
8796,11/6/2005,2005,9,False,MIN,27,14,DET,,,37.5,Hubert H. Humphrey Metrodome,False,72.0,0.0,,indoor,13,False
8797,11/6/2005,2005,9,False,NO,17,20,CHI,,,34.5,Tiger Stadium (LSU),False,74.0,5.0,74.0,,-3,False
8798,11/6/2005,2005,9,False,NYJ,26,31,SD,,,41.5,Giants Stadium,False,59.0,9.0,86.0,,-5,False
8799,11/6/2005,2005,9,False,SF,6,24,NYG,,,42,Candlestick Park,False,57.0,7.0,80.0,,-18,False
8800,11/6/2005,2005,9,False,TB,14,34,CAR,,,36.5,Raymond James Stadium,False,74.0,7.0,69.0,,-20,False
8801,11/6/2005,2005,9,False,Washington Redskins,17,10,PHI,,,41,FedEx Field,False,62.0,10.0,73.0,,7,False
8802,11/7/2005,2005,9,False,NE,21,40,IND,,,46.5,Gillette Stadium,False,56.0,17.0,60.0,,-19,False
8803,11/13/2005,2005,10,False,ATL,25,33,GB,,,42,Georgia Dome,False,72.0,0.0,,indoor,-8,False
8804,11/13/2005,2005,10,False,BUF,14,3,KC,,,42.5,Ralph Wilson Stadium,False,56.0,17.0,45.0,,11,False
8805,11/13/2005,2005,10,False,CAR,30,3,NYJ,,,40.5,Bank of America Stadium,False,54.0,4.0,60.0,,27,False
8806,11/13/2005,2005,10,False,CHI,17,9,SF,,,33,Soldier Field,False,53.0,25.0,59.0,,8,False
8807,11/13/2005,2005,10,False,DET,29,21,ARI,,,40,Ford Field,False,72.0,0.0,,indoor,8,False
8808,11/13/2005,2005,10,False,IND,31,17,HOU,,,45,RCA Dome,False,72.0,0.0,,indoor,14,False
8809,11/13/2005,2005,10,False,JAX,30,3,BAL,,,34,EverBank Field,False,70.0,6.0,66.0,,27,False
8810,11/13/2005,2005,10,False,MIA,16,23,NE,,,40,Sun Life Stadium,False,77.0,15.0,63.0,,-7,False
8811,11/13/2005,2005,10,False,NYG,21,24,MIN,,,45,Giants Stadium,False,55.0,12.0,61.0,,-3,False
8812,11/13/2005,2005,10,False,OAK,17,31,DEN,,,47,Oakland Coliseum,False,53.0,6.0,80.0,,-14,False
8813,11/13/2005,2005,10,False,PIT,34,21,CLE,,,34.5,Heinz Field,False,52.0,11.0,51.0,,13,False
8814,11/13/2005,2005,10,False,SEA,31,16,STL,,,48.5,CenturyLink Field,False,45.0,9.0,93.0,,15,False
8815,11/13/2005,2005,10,False,TB,36,35,Washington Redskins,,,34,Raymond James Stadium,False,72.0,7.0,65.0,,1,False
8816,11/14/2005,2005,10,False,PHI,20,21,DAL,,,40,Lincoln Financial Field,False,60.0,10.0,52.0,,-1,False
8817,11/20/2005,2005,11,False,ATL,27,30,TB,,,38,Georgia Dome,False,72.0,0.0,,indoor,-3,False
8818,11/20/2005,2005,11,False,BAL,16,13,PIT,,,34.5,M&T Bank Stadium,False,42.0,4.0,54.0,,3,False
8819,11/20/2005,2005,11,False,CHI,13,3,CAR,,,34.5,Soldier Field,False,40.0,7.0,74.0,,10,False
8820,11/20/2005,2005,11,False,CIN,37,45,IND,,,48.5,Paul Brown Stadium,False,44.0,8.0,48.0,,-8,False
8821,11/20/2005,2005,11,False,CLE,22,0,MIA,,,34.5,FirstEnergy Stadium,False,45.0,12.0,44.0,,22,False
8822,11/20/2005,2005,11,False,DAL,20,7,DET,,,39,Texas Stadium,False,53.0,11.0,51.0,,13,False
8823,11/20/2005,2005,11,False,DEN,27,0,NYJ,,,41,Sports Authority Field at Mile High,False,39.0,10.0,35.0,,27,False
8824,11/20/2005,2005,11,False,HOU,17,45,KC,,,44.5,Reliant Stadium,False,72.0,0.0,,indoor,-28,False
8825,11/20/2005,2005,11,False,NE,24,17,NO,,,45,Gillette Stadium,False,43.0,12.0,51.0,,7,False
8826,11/20/2005,2005,11,False,NYG,27,17,PHI,,,43,Giants Stadium,False,48.0,11.0,43.0,,10,False
