schedule_date,Season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,Team,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
10/2/2011,2011,4,False,ARI,27,31,NYG,NYG,-1.5,45,University of Phoenix Stadium,False,72.0,0.0,,indoor
10/2/2011,2011,4,False,BAL,34,17,NYJ,BAL,-5.0,43.5,M&T Bank Stadium,False,51.0,6.0,66.0,
10/2/2011,2011,4,False,CHI,34,29,CAR,CHI,-7.0,42,Soldier Field,False,60.0,8.0,50.0,
10/2/2011,2011,4,False,CIN,23,20,BUF,BUF,-3.0,43,Paul Brown Stadium,False,59.0,1.0,48.0,
10/2/2011,2011,4,False,CLE,13,31,TEN,CLE,-1.5,37.5,FirstEnergy Stadium,False,55.0,2.0,,
10/2/2011,2011,4,False,DAL,30,34,DET,DAL,-2.5,46.5,Cowboys Stadium,False,72.0,0.0,,indoor
10/2/2011,2011,4,False,GB,49,23,DEN,GB,-12.0,46.5,Lambeau Field,False,68.0,1.0,37.0,
10/2/2011,2011,4,False,HOU,17,10,PIT,HOU,-4.0,46.5,Reliant Stadium,False,79.0,1.0,,retractable (open roof)
10/2/2011,2011,4,False,JAX,10,23,NO,NO,-9.0,45,EverBank Field,False,74.0,5.0,40.0,
10/2/2011,2011,4,False,KC,22,17,MIN,MIN,-3.0,40,Arrowhead Stadium,False,70.0,7.0,40.0,
10/2/2011,2011,4,False,OAK,19,31,NE,NE,-6.5,55.5,Oakland Coliseum,False,71.0,6.0,50.0,
10/2/2011,2011,4,False,PHI,23,24,SF,PHI,-10.0,43.5,Lincoln Financial Field,False,54.0,2.0,78.0,rain | fog
10/2/2011,2011,4,False,SD,26,16,MIA,LAC,-7.0,45,Qualcomm Stadium,False,84.0,9.0,32.0,
10/2/2011,2011,4,False,SEA,28,30,ATL,ATL,-6.0,39,CenturyLink Field,False,63.0,0.0,,
10/2/2011,2011,4,False,STL,10,17,Washington Redskins,WAS,-3.0,44,Edward Jones Dome,False,72.0,0.0,,indoor
10/3/2011,2011,4,False,TB,24,17,IND,TB,-10.0,40.5,Raymond James Stadium,False,73.0,0.0,,
10/9/2011,2011,5,False,ATL,14,25,GB,GB,-6.5,53,Georgia Dome,False,72.0,0.0,,indoor
10/9/2011,2011,5,False,BUF,31,24,PHI,PHI,-3.0,53,Ralph Wilson Stadium,False,75.0,6.0,47.0,
10/9/2011,2011,5,False,CAR,27,30,NO,NO,-6.5,51.5,Bank of America Stadium,False,75.0,1.0,50.0,
10/9/2011,2011,5,False,DEN,24,29,SD,LAC,-3.5,46.5,Sports Authority Field at Mile High,False,54.0,6.0,45.0,
10/9/2011,2011,5,False,HOU,20,25,OAK,HOU,-4.5,48.5,Reliant Stadium,False,76.0,6.0,,retractable (open roof)
10/9/2011,2011,5,False,IND,24,28,KC,IND,-1.5,38,Lucas Oil Stadium,False,72.0,0.0,,indoor
10/9/2011,2011,5,False,JAX,20,30,CIN,CIN,-2.5,37,EverBank Field,False,79.0,1.0,68.0,
10/9/2011,2011,5,False,MIN,34,10,ARI,MIN,-3.5,45,Mall of America Field,False,72.0,0.0,,indoor
10/9/2011,2011,5,False,NE,30,21,NYJ,NE,-7.5,50,Gillette Stadium,False,84.0,9.0,40.0,
10/9/2011,2011,5,False,NYG,25,36,SEA,NYG,-10.0,43.5,MetLife Stadium,False,81.0,4.0,42.0,
10/9/2011,2011,5,False,PIT,38,17,TEN,PIT,-3.0,40,Heinz Field,False,78.0,3.0,53.0,
10/9/2011,2011,5,False,SF,48,3,TB,SF,-3.0,41.5,Candlestick Park,False,66.0,6.0,75.0,
10/10/2011,2011,5,False,DET,24,13,CHI,DET,-7.0,47,Ford Field,False,72.0,0.0,,indoor
10/16/2011,2011,6,False,ATL,31,17,CAR,ATL,-3.5,49.5,Georgia Dome,False,72.0,0.0,,indoor
10/16/2011,2011,6,False,BAL,29,14,HOU,BAL,-7.0,43.5,M&T Bank Stadium,False,72.0,1.0,29.0,
10/16/2011,2011,6,False,CHI,39,10,MIN,CHI,-2.5,42,Soldier Field,False,56.0,1.0,48.0,
10/16/2011,2011,6,False,CIN,27,17,IND,CIN,-4.5,40.5,Paul Brown Stadium,False,77.0,1.0,41.0,
10/16/2011,2011,6,False,DET,19,25,SF,DET,-5.0,45,Ford Field,False,72.0,0.0,,indoor
10/16/2011,2011,6,False,GB,24,3,STL,GB,-14.0,47.5,Lambeau Field,False,58.0,2.0,41.0,
10/16/2011,2011,6,False,NE,20,16,DAL,NE,-7.0,54.5,Gillette Stadium,False,63.0,8.0,,
10/16/2011,2011,6,False,NYG,27,24,BUF,NYG,-3.0,49,MetLife Stadium,False,67.0,1.0,40.0,
10/16/2011,2011,6,False,OAK,24,17,CLE,LVR,-6.5,45,Oakland Coliseum,False,74.0,8.0,60.0,
10/16/2011,2011,6,False,PIT,17,13,JAX,PIT,-12.5,40,Heinz Field,False,64.0,1.0,52.0,
10/16/2011,2011,6,False,TB,26,20,NO,NO,-6.5,49.5,Raymond James Stadium,False,86.0,11.0,,
10/16/2011,2011,6,False,Washington Redskins,13,20,PHI,PHI,-3.0,46.5,FedEx Field,False,69.0,7.0,26.0,
10/17/2011,2011,6,False,NYJ,24,6,MIA,NYJ,-7.5,41.5,MetLife Stadium,False,69.0,1.0,37.0,
10/23/2011,2011,7,False,ARI,20,32,PIT,PIT,-4.5,46.5,University of Phoenix Stadium,False,72.0,0.0,,indoor
10/23/2011,2011,7,False,CAR,33,20,Washington Redskins,CAR,-2.5,44.5,Bank of America Stadium,False,67.0,0.0,56.0,
10/23/2011,2011,7,False,CLE,6,3,SEA,CLE,-3.0,41,FirstEnergy Stadium,False,63.0,7.0,53.0,
10/23/2011,2011,7,False,DAL,34,7,STL,DAL,-14.0,43,Cowboys Stadium,False,72.0,0.0,,indoor
10/23/2011,2011,7,False,DET,16,23,ATL,DET,-4.5,47,Ford Field,False,72.0,0.0,,indoor
10/23/2011,2011,7,False,MIA,15,18,DEN,DEN,-1.0,41.5,Sun Life Stadium,False,79.0,9.0,57.0,
10/23/2011,2011,7,False,MIN,27,33,GB,GB,-11.0,47,Mall of America Field,False,72.0,0.0,,indoor
10/23/2011,2011,7,False,NO,62,7,IND,NO,-14.0,49,Louisiana Superdome,False,72.0,0.0,,indoor
10/23/2011,2011,7,False,NYJ,27,21,SD,LAC,-1.0,43.5,MetLife Stadium,False,70.0,0.0,46.0,
10/23/2011,2011,7,False,OAK,0,28,KC,LVR,-3.5,41.5,Oakland Coliseum,False,79.0,6.0,46.0,
10/23/2011,2011,7,False,TB,18,24,CHI,CHI,-2.0,44,Wembley Stadium,True,67.0,15.0,54.0,
10/23/2011,2011,7,False,TEN,7,41,HOU,TEN,-2.5,44,Nissan Stadium,False,72.0,0.0,35.0,
10/24/2011,2011,7,False,JAX,12,7,BAL,BAL,-10.5,39,EverBank Field,False,69.0,0.0,77.0,
10/30/2011,2011,8,False,BAL,30,27,ARI,BAL,-11.5,43,M&T Bank Stadium,False,63.0,9.0,,
10/30/2011,2011,8,False,BUF,23,0,Washington Redskins,BUF,-4.0,46.5,Rogers Centre,True,72.0,0.0,,indoor
10/30/2011,2011,8,False,CAR,21,24,MIN,CAR,-3.0,47,Bank of America Stadium,False,59.0,6.0,52.0,
10/30/2011,2011,8,False,DEN,10,45,DET,DET,-3.5,43.5,Sports Authority Field at Mile High,False,59.0,5.0,31.0,
10/30/2011,2011,8,False,HOU,24,14,JAX,HOU,-10.0,41,Reliant Stadium,False,69.0,4.0,,retractable (open roof)
10/30/2011,2011,8,False,NYG,20,17,MIA,NYG,-10.0,43.5,MetLife Stadium,False,45.0,1.0,55.0,
10/30/2011,2011,8,False,PHI,34,7,DAL,PHI,-3.0,49.5,Lincoln Financial Field,False,42.0,5.0,64.0,
10/30/2011,2011,8,False,PIT,25,17,NE,NE,-3.0,52,Heinz Field,False,40.0,3.0,79.0,
10/30/2011,2011,8,False,SF,20,10,CLE,SF,-9.5,38.5,Candlestick Park,False,67.0,5.0,68.0,
10/30/2011,2011,8,False,SEA,12,34,CIN,CIN,-1.5,37.5,CenturyLink Field,False,59.0,14.0,,
10/30/2011,2011,8,False,STL,31,21,NO,NO,-14.0,48.5,Edward Jones Dome,False,72.0,0.0,,indoor
10/30/2011,2011,8,False,TEN,27,10,IND,TEN,-7.5,43.5,Nissan Stadium,False,62.0,0.0,35.0,
10/31/2011,2011,8,False,KC,23,20,SD,LAC,-3.0,44.5,Arrowhead Stadium,False,63.0,0.0,31.0,
11/6/2011,2011,9,False,ARI,19,13,STL,ARI,-3.0,41.5,University of Phoenix Stadium,False,72.0,0.0,,indoor
11/6/2011,2011,9,False,BUF,11,27,NYJ,BUF,-2.5,45,Ralph Wilson Stadium,False,61.0,8.0,26.0,
11/6/2011,2011,9,False,DAL,23,13,SEA,DAL,-11.0,45,Cowboys Stadium,False,72.0,0.0,,indoor
11/6/2011,2011,9,False,HOU,30,12,CLE,HOU,-10.5,41,Reliant Stadium,False,78.0,1.0,,retractable (open roof)
11/6/2011,2011,9,False,IND,7,31,ATL,ATL,-7.0,45.5,Lucas Oil Stadium,False,72.0,0.0,,indoor
11/6/2011,2011,9,False,KC,3,31,MIA,KC,-4.0,40.5,Arrowhead Stadium,False,63.0,1.0,45.0,
11/6/2011,2011,9,False,NE,20,24,NYG,NE,-9.0,51,Gillette Stadium,False,54.0,9.0,,
11/6/2011,2011,9,False,NO,27,16,TB,NO,-9.0,50.5,Louisiana Superdome,False,72.0,0.0,,indoor
11/6/2011,2011,9,False,OAK,24,38,DEN,LVR,-7.5,42.5,Oakland Coliseum,False,62.0,5.0,,
11/6/2011,2011,9,False,PIT,20,23,BAL,PIT,-3.5,42,Heinz Field,False,50.0,2.0,43.0,
11/6/2011,2011,9,False,SD,38,45,GB,GB,-6.0,51,Qualcomm Stadium,False,54.0,1.0,90.0,fog
11/6/2011,2011,9,False,TEN,17,24,CIN,TEN,-3.0,41.5,Nissan Stadium,False,68.0,1.0,39.0,
11/6/2011,2011,9,False,Washington Redskins,11,19,SF,SF,-4.5,37.5,FedEx Field,False,58.0,6.0,48.0,
11/7/2011,2011,9,False,PHI,24,30,CHI,PHI,-8.0,47.5,Lincoln Financial Field,False,51.0,2.0,74.0,
11/10/2011,2011,10,False,SD,17,24,OAK,LAC,-7.0,48,Qualcomm Stadium,False,69.0,5.0,27.0,
11/13/2011,2011,10,False,ATL,23,26,NO,ATL,-1.0,50,Georgia Dome,False,72.0,0.0,,indoor
11/13/2011,2011,10,False,CAR,3,30,TEN,CAR,-3.5,47.5,Bank of America Stadium,False,59.0,1.0,54.0,
11/13/2011,2011,10,False,CHI,37,13,DET,CHI,-3.0,42.5,Soldier Field,False,71.0,2.0,44.0,
11/13/2011,2011,10,False,CIN,17,24,PIT,PIT,-4.0,40.5,Paul Brown Stadium,False,65.0,2.0,60.0,
11/13/2011,2011,10,False,CLE,12,13,STL,CLE,-3.0,36.5,FirstEnergy Stadium,False,63.0,40.0,,
11/13/2011,2011,10,False,DAL,44,7,BUF,DAL,-4.5,49,Cowboys Stadium,False,72.0,0.0,,indoor
11/13/2011,2011,10,False,IND,3,17,JAX,JAX,-3.0,37.5,Lucas Oil Stadium,False,72.0,0.0,,indoor
11/13/2011,2011,10,False,KC,10,17,DEN,KC,-3.5,42.5,Arrowhead Stadium,False,69.0,1.0,23.0,
11/13/2011,2011,10,False,MIA,20,9,Washington Redskins,MIA,-4.0,38,Sun Life Stadium,False,79.0,1.0,58.0,
11/13/2011,2011,10,False,NYJ,16,37,NE,NYJ,-2.5,47,MetLife Stadium,False,58.0,1.0,37.0,
11/13/2011,2011,10,False,PHI,17,21,ARI,PHI,-13.0,47.5,Lincoln Financial Field,False,61.0,1.0,40.0,
